iso3,regimen,modelo,mae_rel,dm_p,gana_sig
MEX,calma,Ridge sobre rezagos,0.9519962577202042,0.7315589315933316,False
MEX,calma,Ingenuo,1.0,,False
MEX,calma,Deriva,1.01102587260489,0.06577064995143438,False
MEX,ruptura,LSTM(16),0.6605325430879044,,False
MEX,ruptura,Comb. LSTM/AR(1) suave,0.672104948529064,,False
MEX,ruptura,Random Forest,0.7068328629624543,,False
MEX,ruptura,Comb. RF/AR(1) suave,0.7338091733462279,,False
MEX,ruptura,Comb. RF/AR(1) dura,0.7338091733462279,,False
MEX,ruptura,Comb. RF/ingenuo suave,0.7338091733462279,,False
MEX,ruptura,Ridge sobre rezagos,0.7757359012719963,,False
MEX,ruptura,"ARMA(2,2)",0.7787335871517334,,False
MEX,ruptura,"ARIMA(1,1,1)",0.7803118101614533,,False
MEX,ruptura,Comb. RF/AR(1) umbral min,0.8112509549703381,,False
MEX,ruptura,AR(1),0.8183073937530198,,False
MEX,ruptura,Ingenuo,1.0,,False
MEX,ruptura,Deriva,1.005963287819981,,False
NIC,calma,Ingenuo,1.0,,False
NIC,calma,AR(1),1.0018968904056633,0.9901718160506806,False
NIC,calma,Deriva,1.012914841686558,0.19562737282260964,False
NIC,calma,Comb. RF/AR(1) umbral min,1.062406945092522,0.6732148259250045,False
NIC,calma,"ARIMA(1,1,1)",1.069041900009342,0.6837045829126931,False
NIC,calma,Comb. RF/AR(1) dura,1.2263013041705706,0.24019821175743278,False
NIC,calma,Comb. RF/ingenuo suave,1.2873844832264403,0.17348369079159426,False
NIC,calma,Comb. RF/AR(1) suave,1.287742548902603,0.17273453396553742,False
NIC,calma,Random Forest,1.4097675776124592,0.06502353300288018,False
NIC,calma,LSTM(16),1.4443094595586323,0.03340669491168246,False
NIC,calma,Ridge sobre rezagos,1.4452356812588856,0.031057935487029446,False
NIC,calma,"ARMA(2,2)",1.6861634303381727,0.0047675011802243905,False
NIC,ruptura,AR(1),0.9394908179099037,,False
NIC,ruptura,Comb. RF/AR(1) umbral min,0.9394908179099037,,False
NIC,ruptura,"ARMA(2,2)",0.9740958252841732,,False
NIC,ruptura,"ARIMA(1,1,1)",0.9745218809192678,,False
NIC,ruptura,Ingenuo,1.0,,False
NIC,ruptura,LSTM(16),1.0213235151326405,,False
NIC,ruptura,Deriva,1.025780741968747,,False
NIC,ruptura,Comb. LSTM/AR(1) suave,1.0416554592049228,,False
NIC,ruptura,Ridge sobre rezagos,1.07770883904683,,False
NIC,ruptura,Comb. RF/AR(1) suave,1.096057675238434,,False
NIC,ruptura,Comb. RF/AR(1) dura,1.096057675238434,,False
NIC,ruptura,Comb. RF/ingenuo suave,1.096057675238434,,False
NIC,ruptura,Random Forest,1.2139929713296598,,False
PAN,calma,LSTM(16),0.7677992189158145,0.03397283086582752,True
PAN,calma,AR(1),0.8370103105793799,0.10243893912165841,False
PAN,calma,"ARIMA(1,1,1)",0.852817408140627,0.15904466501005227,False
PAN,calma,"ARMA(2,2)",0.90813342820308,0.459078614928586,False
PAN,calma,Comb. RF/AR(1) umbral min,0.9122706530497866,0.4806076453118989,False
PAN,calma,Ingenuo,1.0,,False
PAN,calma,Deriva,1.00893108511557,0.32165090341608327,False
