modelo,familia,origen,objetivo,paso,real,pronostico,error
"SARIMAX(1,0,0)+macro",con exogenas,2012,2013,1,5.13399351995672,3.6369854721116823,-1.4970080478450374
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2012,2013,1,5.13399351995672,3.4537548178535356,-1.6802387021031842
VAR(2),con exogenas,2012,2013,1,5.13399351995672,4.924001133945296,-0.20999238601142345
Ridge,regularizado,2012,2013,1,5.13399351995672,4.11461343206822,-1.0193800878885
Lasso,regularizado,2012,2013,1,5.13399351995672,4.025713750048223,-1.1082797699084965
ElasticNet,regularizado,2012,2013,1,5.13399351995672,4.208248524770849,-0.9257449951858705
Factores PCA + AR,regularizado,2012,2013,1,5.13399351995672,4.357046734128206,-0.776946785828514
Random Forest,aprendizaje,2012,2013,1,5.13399351995672,4.197345705530425,-0.9366478144262951
Gradient Boosting,aprendizaje,2012,2013,1,5.13399351995672,3.522571723982548,-1.611421795974172
MLP,aprendizaje,2012,2013,1,5.13399351995672,-0.738984665622489,-5.872978185579209
LSTM,red neuronal,2012,2013,1,5.13399351995672,4.79475041962167,-0.33924310033504934
CNN 1D,red neuronal,2012,2013,1,5.13399351995672,4.725845480558338,-0.40814803939838207
Ingenuo,referencia,2013,2014,1,4.49903000110972,5.13399351995672,0.634963518847
Media historica,referencia,2013,2014,1,4.49903000110972,4.235477410637763,-0.26355259047195645
Media 5 anios,referencia,2013,2014,1,4.49903000110972,4.325765777008653,-0.17326422410106712
Deriva,referencia,2013,2014,1,4.49903000110972,5.134854607179136,0.6358246060694164
AR(1),Box-Jenkins,2013,2014,1,4.49903000110972,4.6347836617039135,0.1357536605941938
AR(2),Box-Jenkins,2013,2014,1,4.49903000110972,4.582137694089237,0.08310769297951737
MA(1),Box-Jenkins,2013,2014,1,4.49903000110972,4.702043531464899,0.20301353035517966
MA(2),Box-Jenkins,2013,2014,1,4.49903000110972,4.44723773249989,-0.05179226860982933
"ARMA(1,1)",Box-Jenkins,2013,2014,1,4.49903000110972,4.603755083180898,0.10472508207117848
"ARMA(2,1)",Box-Jenkins,2013,2014,1,4.49903000110972,4.754670362107975,0.25564036099825493
"ARIMA(1,1,1)",Box-Jenkins,2013,2014,1,4.49903000110972,4.587287440506991,0.08825743939727104
"ARIMA(2,1,0)",Box-Jenkins,2013,2014,1,4.49903000110972,5.130260874744296,0.6312308736345766
AR(1)+COVID,Box-Jenkins,2013,2014,1,4.49903000110972,4.6347836617039135,0.1357536605941938
"ARMA(1,1)+COVID",Box-Jenkins,2013,2014,1,4.49903000110972,4.603755083180898,0.10472508207117848
"SARIMAX(1,0,0)+macro",con exogenas,2013,2014,1,4.49903000110972,3.8049141415617695,-0.6941158595479502
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2013,2014,1,4.49903000110972,3.606459448881724,-0.8925705522279959
VAR(2),con exogenas,2013,2014,1,4.49903000110972,4.7247100792445735,0.2256800781348538
Ridge,regularizado,2013,2014,1,4.49903000110972,4.7371033954644455,0.23807339435472574
Lasso,regularizado,2013,2014,1,4.49903000110972,4.23748060422552,-0.26154939688419976
ElasticNet,regularizado,2013,2014,1,4.49903000110972,4.520901837398867,0.02187183628914724
Factores PCA + AR,regularizado,2013,2014,1,4.49903000110972,5.509838439875786,1.010808438766066
Random Forest,aprendizaje,2013,2014,1,4.49903000110972,5.256831754259691,0.7578017531499714
Gradient Boosting,aprendizaje,2013,2014,1,4.49903000110972,5.922641173403353,1.4236111722936329
MLP,aprendizaje,2013,2014,1,4.49903000110972,3.2561086858927464,-1.2429213152169734
LSTM,red neuronal,2013,2014,1,4.49903000110972,4.775331739849518,0.27630173873979835
CNN 1D,red neuronal,2013,2014,1,4.49903000110972,4.628168777239619,0.1291387761298992
Ingenuo,referencia,2014,2015,1,2.95590137527523,4.49903000110972,1.5431286258344898
Media historica,referencia,2014,2015,1,2.95590137527523,4.240358014165022,1.2844566388897918
Media 5 anios,referencia,2014,2015,1,2.95590137527523,4.997642048134471,2.0417406728592415
Deriva,referencia,2014,2015,1,2.95590137527523,4.487894397651581,1.531993022376351
AR(1),Box-Jenkins,2014,2015,1,2.95590137527523,4.343845643592946,1.3879442683177161
AR(2),Box-Jenkins,2014,2015,1,2.95590137527523,4.3644587230282905,1.4085573477530606
MA(1),Box-Jenkins,2014,2015,1,2.95590137527523,4.114115244052998,1.1582138687777683
MA(2),Box-Jenkins,2014,2015,1,2.95590137527523,4.489306610202914,1.533405234927684
"ARMA(1,1)",Box-Jenkins,2014,2015,1,2.95590137527523,4.346502052922657,1.3906006776474267
"ARMA(2,1)",Box-Jenkins,2014,2015,1,2.95590137527523,4.26066492126238,1.3047635459871505
"ARIMA(1,1,1)",Box-Jenkins,2014,2015,1,2.95590137527523,4.305385280743318,1.3494839054680878
"ARIMA(2,1,0)",Box-Jenkins,2014,2015,1,2.95590137527523,4.559417090970214,1.6035157156949844
AR(1)+COVID,Box-Jenkins,2014,2015,1,2.95590137527523,4.343845643592946,1.3879442683177161
"ARMA(1,1)+COVID",Box-Jenkins,2014,2015,1,2.95590137527523,4.346502052922657,1.3906006776474267
"SARIMAX(1,0,0)+macro",con exogenas,2014,2015,1,2.95590137527523,3.868177739694333,0.9122763644191032
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2014,2015,1,2.95590137527523,3.754561801950112,0.798660426674882
VAR(2),con exogenas,2014,2015,1,2.95590137527523,3.4362507507938744,0.48034937551864454
Ridge,regularizado,2014,2015,1,2.95590137527523,4.199125924280111,1.2432245490048808
Lasso,regularizado,2014,2015,1,2.95590137527523,4.148010300784085,1.192108925508855
ElasticNet,regularizado,2014,2015,1,2.95590137527523,4.3865921415079425,1.4306907662327126
Factores PCA + AR,regularizado,2014,2015,1,2.95590137527523,5.129923511617207,2.174022136341977
Random Forest,aprendizaje,2014,2015,1,2.95590137527523,5.2316245511256225,2.2757231758503926
Gradient Boosting,aprendizaje,2014,2015,1,2.95590137527523,4.336654255056987,1.3807528797817574
MLP,aprendizaje,2014,2015,1,2.95590137527523,3.8820001350422255,0.9260987597669956
LSTM,red neuronal,2014,2015,1,2.95590137527523,4.596518929495881,1.640617554220651
CNN 1D,red neuronal,2014,2015,1,2.95590137527523,4.122347781364079,1.1664464060888489
Ingenuo,referencia,2015,2016,1,2.08738250162794,2.95590137527523,0.86851887364729
Media historica,referencia,2015,2016,1,2.08738250162794,4.217004257094299,2.129621755466359
Media 5 anios,referencia,2015,2016,1,2.08738250162794,4.689890529047674,2.6025080274197343
Deriva,referencia,2015,2016,1,2.08738250162794,2.9163955306619735,0.8290130290340336
AR(1),Box-Jenkins,2015,2016,1,2.08738250162794,3.620379362652134,1.532996861024194
AR(2),Box-Jenkins,2015,2016,1,2.08738250162794,3.6429814133775977,1.5555989117496578
MA(1),Box-Jenkins,2015,2016,1,2.08738250162794,3.7318323838734115,1.6444498822454716
MA(2),Box-Jenkins,2015,2016,1,2.08738250162794,3.5591191246026828,1.4717366229747428
"ARMA(1,1)",Box-Jenkins,2015,2016,1,2.08738250162794,3.6256500000624703,1.5382674984345304
"ARMA(2,1)",Box-Jenkins,2015,2016,1,2.08738250162794,3.5797947845298355,1.4924122829018955
"ARIMA(1,1,1)",Box-Jenkins,2015,2016,1,2.08738250162794,3.5619372227644135,1.4745547211364736
"ARIMA(2,1,0)",Box-Jenkins,2015,2016,1,2.08738250162794,3.574725567589301,1.487343065961361
AR(1)+COVID,Box-Jenkins,2015,2016,1,2.08738250162794,3.620379362652134,1.532996861024194
